Date,Open,High,Low,Close,Volume
28 09 2017,181.25,181.949997,179.360001,180.699997,4077000
29 09 2017,180.729996,182.899994,180.649994,181.350006,4227900
02 10 2017,182.110001,182.800003,176.580002,177.009995,7342000
03 10 2017,177.649994,179.699997,177.550003,179.190002,3956900
04 10 2017,181.410004,186.699997,181.25,184.449997,9235900
05 10 2017,185.649994,194.490005,184.490005,194.389999,19412700
06 10 2017,194.300003,198.919998,192.050003,198.020004,15348400
09 10 2017,199.100006,199.399994,196.559998,196.869995,6971700
10 10 2017,197.850006,198.300003,192.100006,195.080002,6233800
11 10 2017,195.570007,196.220001,193.809998,194.949997,6450200
12 10 2017,196.75,198.619995,194.710007,195.860001,7753300
13 10 2017,199.699997,200.820007,197.190002,199.490005,12081300
16 10 2017,201.949997,202.830002,197.860001,202.679993,22105400
17 10 2017,200.110001,204.380005,197.770004,199.479996,23900100
18 10 2017,199.990005,200.009995,194.25,195.539993,11198900
19 10 2017,193.009995,195.25,191.160004,195.130005,7034600
20 10 2017,195.899994,196.380005,193.770004,194.160004,5995600
23 10 2017,194.169998,194.899994,191.029999,192.470001,6980000
24 10 2017,192.75,196.740005,191.399994,196.020004,7069100
25 10 2017,195.380005,197.059998,193.009995,193.770004,5315300
26 10 2017,194.660004,197.610001,194.080002,195.210007,5185800
27 10 2017,197.199997,200.649994,196.220001,199.539993,8128600
30 10 2017,199.619995,201.100006,197.070007,198.369995,5439600
31 10 2017,198.210007,198.589996,195.220001,196.429993,5518600
01 11 2017,197.240005,199.199997,196,198,5017400
02 11 2017,197.449997,199.440002,197.089996,199.320007,3606300
03 11 2017,199.800003,200.550003,197.990005,200.009995,3678800
06 11 2017,200,202.479996,198.089996,200.130005,5846600
07 11 2017,200,200.610001,194.800003,195.889999,6468000
08 11 2017,196,197.089996,194.740005,196.440002,4237400
09 11 2017,194.460007,194.490005,190.809998,193.899994,5979900
10 11 2017,191.610001,192.589996,189.5,192.020004,6622200
13 11 2017,191.119995,196.050003,191,195.080002,4607000
14 11 2017,193.639999,195.880005,193,195.710007,3450500
15 11 2017,194.539993,195.419998,191.529999,192.119995,4203100
16 11 2017,194.330002,197.699997,193.75,195.509995,5678400
17 11 2017,195.740005,195.949997,192.649994,193.199997,3906300
20 11 2017,193.300003,194.320007,191.899994,194.100006,3827500
21 11 2017,195.039993,197.520004,194.970001,196.229996,4787300
22 11 2017,196.580002,196.75,193.630005,196.320007,5895400
24 11 2017,196.649994,196.899994,195.330002,195.75,2160500
27 11 2017,195.559998,195.850006,194,195.050003,3210100
28 11 2017,195.339996,199.679993,194.009995,199.179993,6981100
29 11 2017,198.910004,199.029999,184.320007,188.149994,14202700
30 11 2017,190.309998,190.860001,186.679993,187.580002,6630100
01 12 2017,186.990005,189.800003,185,186.820007,6219500
04 12 2017,189.360001,189.720001,178.380005,184.039993,9069800
05 12 2017,183.5,188.139999,181.190002,184.210007,5783700
06 12 2017,183.380005,186.479996,182.880005,185.300003,5490100
07 12 2017,185.710007,187.339996,183.220001,185.199997,4659500
08 12 2017,186.5,189.419998,186.300003,188.539993,4987300
11 12 2017,187.850006,189.419998,185.910004,186.220001,5298600
12 12 2017,186.009995,187.850006,184.820007,185.729996,4265900
13 12 2017,186.100006,188.690002,185.410004,187.860001,4710000
14 12 2017,187.979996,192.639999,187.199997,189.559998,7792800
15 12 2017,189.610001,191.429993,188.009995,190.119995,7285600
18 12 2017,191.199997,191.649994,188.899994,190.419998,5011000
